Nom de la gare,Code UIC complet,Année,Total Voyageurs
Achiet-le-Grand,87342048,2020,67305
Aguilcourt - Variscourt,87171702,2020,10436
Aiguebelette-le-Lac,87741421,2020,2921
Aillevillers,87185629,2020,8639
Ailly-sur-Noye,87313221,2020,93929
Aix-en-Provence,87751404,2020,189752
Albertville,87741645,2020,202236
Alès,87775288,2020,307874
Allenc,87783654,2020,182
Alleyras,87731885,2020,949
Amagne - Lucquy,87172262,2020,38365
Amboise,87574343,2020,380263
Ancenis,87481192,2020,623147
Andrésy,87381491,2020,243554
Anse,87721324,2020,284335
Antibes,87757674,2020,1369074
Anvin,87317255,2020,412
Anzeling,87191387,2020,1560
Arengosse,87671479,2020,3870
Argelès-sur-Mer,87784231,2020,86560
Arpajon,87545467,2020,943812
Arras,87342014,2020,2622169
Aspres-sur-Buëch,87763250,2020,3410
Assat,87672162,2020,559
Aubergenville Élisabethville,87386730,2020,1039473
Aubie - Saint-Antoine,87491233,2020,28303
Aubin,87613224,2020,4316
Aubrives,87172122,2020,9818
Auch,87611749,2020,151588
Aumont-Aubrac,87783266,2020,5641
Auray,87476200,2020,623457
Aurec-sur-Loire,87726760,2020,35557
Auxonne,87713347,2020,246666
Avallon,87683789,2020,30046
Avenue Henri Martin,87381046,2020,442557
Avignonet-Lauragais,87616011,2020,15673
Avord,87576439,2020,28256
Avranches,87448514,2020,13362
Azay-sur-Cher,87574442,2020,8865
Azerailles,87141408,2020,7448
Bagnols - Chadenet,87783647,2020,538
Balagny Saint-Épin,87313569,2020,6145
Bartenheim,87182113,2020,86048
Baule,87574152,2020,8932
Béard,87696468,2020,295
Beaulieu-sur-Mer,87756379,2020,329716
Belfort,87184002,2020,775926
Bergues,87281105,2020,125757
Bertry,87345553,2020,4525
Beslé,87471219,2020,15975
Beuvrages,87343160,2020,913
Béziers,87781005,2020,831286
Bièvres,87393546,2020,233168
Biganos Facture,87582478,2020,658271
Bischwiller,87213611,2020,495341
Blanquefort,87581728,2020,100168
Boisseaux,87543082,2020,5241
Boissise-le-Roi,87682518,2020,70658
Bonneval,87545731,2020,28093
Bonnières-sur-Seine,87415893,2020,348167
Bons-en-Chablais,87745596,2020,90360
Boucau,87673095,2020,5206
Bouffémont - Moisselles,87276485,2020,581931
Boulainvilliers,87543181,2020,1712070
Boulouris sur Mer,87757534,2020,13038
Bourg-Bruche,87214775,2020,8323
Bourg-en-Bresse,87743005,2020,1214094
Bourg-Madame,87784876,2020,2767
Boussay - La Bruffière,87481176,2020,11096
Boussy-Saint-Antoine,87682138,2020,1907204
Brax - Léguevin,87611822,2020,148043
Brazey-en-Plaine,87713644,2020,28595
Breteil,87471102,2020,59860
Bréval,87381624,2020,177277
Briançon,87763607,2020,99791
Brignac,87592063,2020,64
Brignais,87722728,2020,199126
Brion - Laizy,87694596,2020,6147
Brionne,87415364,2020,10420
Briouze,87448084,2020,24431
Broons,87473074,2020,28626
Bruges,87581736,2020,26358
Brumath,87212134,2020,423151
Brunémont,87345439,2020,1376
Bruyères,87144154,2020,42714
Buire-sur-l'Ancre,87316067,2020,2843
Caen,87444000,2020,1959000
Cagnes-sur-Mer,87756320,2020,747076
Cahors,87613000,2020,263846
Calonne-Ricouart,87342543,2020,9333
Cannes La Bocca,87757617,2020,104403
Cantin,87345413,2020,18436
Carcassonne,87615286,2020,565381
Carignan,87172353,2020,10707
Cassis,87751776,2020,204879
Castelnau-d'Estrétefonds,87611665,2020,208341
Castelsarrasin,87611897,2020,61749
Ceilhes - Roqueredonde,87781542,2020,674
Cerizay,87487280,2020,465
Cernay (Haut-Rhin),87182410,2020,351266
Cesson,87682161,2020,1141753
Cesson-Sévigné,87334490,2020,97045
Chabris,87576223,2020,21125
Chagny,87713578,2020,295045
Chaingy Fourneaux Plage,87574111,2020,8992
Chalonnes-sur-Loire,87484204,2020,98379
Chamalières-sur-Loire,87734731,2020,969
Chambéry - Challes-les-Eaux,87741009,2020,2466954
Chambly,87276725,2020,461738
Chamborigaud,87775221,2020,4899
Champ de Mars Tour Eiffel,87393058,2020,4346550
Champagney,87185348,2020,52119
Champbenoist - Poigny,87115873,2020,120625
Champigneulles,87141085,2020,12645
Champigny sur Yonne,87683128,2020,57749
Champtocé-sur-Loire,87484352,2020,23453
Charbonnières-les-Bains,87721530,2020,182340
Chartres,87394007,2020,1994683
Chasseneuil-du-Poitou,87575225,2020,8414
Châteaubourg,87471524,2020,358738
Châteauneuf-sur-Cher,87576298,2020,7441
Château-Renault,87574665,2020,52114
Châtel - Nomexy,87144071,2020,105365
Châtelaudren - Plouagat,87473140,2020,9087
Chaugey,87712679,2020,10429
Chessy,87721761,2020,10315
Chilly-Mazarin,87393637,2020,561647
Chirac,87783290,2020,59
Chocques,87342220,2020,3389
Choisy-le-Roi,87545285,2020,7241618
Cinq-Mars-la-Pile,87571836,2020,81152
Ciry-le-Noble,87694646,2020,3661
Civrieux-d'Azergues,87721746,2020,4584
Clelles - Mens,87747626,2020,16136
Clermont La Rotonde,87396895,2020,8170
Clermont-en-Argonne,87175737,2020,91
Coarraze - Nay,87672139,2020,26993
Collonges-lès-Premières,87713321,2020,28857
Colroy - Lubine,87144386,2020,23
Combs-la-Ville - Quincy,87682146,2020,2106559
Compiègne,87276691,2020,1495127
Conlie,87396218,2020,33225
Contrexéville,87144287,2020,18447
Corbie,87313056,2020,273972
Cordemais,87481820,2020,21478
Corps-Nuds,87471326,2020,3307
Corseul - Languenan,87478180,2020,1489
Couffoulens - Leuc,87615120,2020,1613
Courcelles-le-Comte,87342063,2020,703
Courthézon,87765180,2020,16297
Couze,87584425,2020,24
Cransac,87613232,2020,2310
Cravant - Bazarnes,87683649,2020,5318
Crêches-sur-Saône,87725713,2020,16541
Crépy - Couvron,87296152,2020,2223
Créteil Pompadour,87608802,2020,4245904
Croix du Prince,87672600,2020,4705
Croix Sainte,87753491,2020,1310
Crouy,87271874,2020,376
Dambach-la-Ville,87214213,2020,29978
Danjoutin,87700146,2020,948
Delle,87184440,2020,17348
Dol-de-Bretagne,87478073,2020,295448
Domfront-en-Champagne,87396200,2020,4380
Dompierre-sur-Helpe,87295774,2020,1396
Donges,87481721,2020,7839
Donjeux,87142273,2020,3815
Donzère,87764290,2020,16156
Dorlisheim,87214338,2020,71117
Dormans,87171512,2020,95970
Douzillac,87595280,2020,0
Drap - Cantaron,87756775,2020,23792
Drusenheim,87212357,2020,86913
Dunkerque,87281006,2020,1241973
Ébersviller,87191379,2020,3283
Écommoy,87396564,2020,38701
Écouché,87444547,2020,285
Ecully - Tassin,87721506,2020,189080
Elbeuf - Saint-Aubin,87411173,2020,145887
Embrun,87763466,2020,60362
Épinay - Villetaneuse,87271122,2020,7045846
Épinay-sur-Orge,87545228,2020,1481071
Ermont - Eaubonne,87276055,2020,12380423
Ermont Halte,87276584,2020,566794
Étainhus - Saint-Romain,87413328,2020,42897
Étaples - Le Touquet,87317065,2020,268566
Faremoutiers - Pommeuse,87116277,2020,147640
Fenouillet - Saint-Alban,87611962,2020,14
Feuquières - Broquiers,87313742,2020,14701
Flers,87448001,2020,77154
Fleurville - Pont-de-Vaux,87725663,2020,11707
Flez-Cuzy - Tannay,87696633,2020,668
Foëcy,87576108,2020,21722
Fontainebleau - Avon,87682211,2020,2115327
Fontaines-d'Ozillac,87491159,2020,0
Fontan - Saorge,87756858,2020,2583
Fontenoy-sur-Moselle,87141051,2020,2672
Font-Romeu-Odeillo-Via,87784819,2020,40745
Fos-sur-Mer,87753442,2020,2941
Foucart - Alvimare,87413377,2020,2059
Fouday,87214734,2020,8789
Foug,87141036,2020,6301
Frasne,87715136,2020,133728
Fréjus,87757500,2020,103420
Frépillon,87276659,2020,193459
Frontenex,87741629,2020,17745
Frynaudour,87473876,2020,208
Gadagne,87765446,2020,4237
Gaillac,87615252,2020,230110
Gallargues-le-Montueux,87775130,2020,8776
Gambsheim,87212332,2020,154129
Gandrange - Amnéville,87191742,2020,1646
Gare routière de Digne les Bains,87751495,2020,3886
Gare routière de La-Voulte-sur-Rhône,87761544,2020,747
Gargan,87113860,2020,1723165
Gargenville,87381566,2020,194290
Gazeran,87393348,2020,157079
Gazinet Cestas,87582403,2020,242484
Geispolsheim,87212258,2020,36750
Gièvres,87576876,2020,46244
Gironde-sur-Dropt,87582858,2020,3107
Givet,87172130,2020,65458
Givors Canal,87722439,2020,56247
Goussainville,87276246,2020,2859060
Goxwiller,87214270,2020,19059
Gragnague,87615377,2020,16440
Gramat,87613059,2020,10952
Grande-Synthe,87281311,2020,7703
Grasse,87757724,2020,167249
Gravigny Balizy,87393645,2020,267679
Grenoble Universités - Gières,87747402,2020,441245
Gresswiller,87214593,2020,127933
Guignicourt,87171736,2020,120804
Habsheim,87182089,2020,161472
Hachette,87297523,2020,11
Halsou - Larressore,87673640,2020,1462
Ham,87313494,2020,94874
