Date,Source,RegionSource,Target,RegionTarget,Valeur1,Valeur2,Valeur3,Valeur4,Valeur5,Valeur6,Valeur7,Valeur8,Valeur9,Valeur10,Valeur11,Valeur12,Valeur13,Valeur14,Valeur15,Valeur16,Valeur17,Valeur18,Valeur19
2018-01,ANGERS SAINT LAUD,Pays de la Loire,PARIS MONTPARNASSE,Île-de-France,393,91,2,204,6.400490196,3.455754476,77,24.27424242,6.0728474,35,6.0728474,19,4,37.5,37.5,8.928571429,5.357142857,8.928571429,1.785714286
2018-01,LA ROCHELLE VILLE,Nouvelle Aquitaine,PARIS MONTPARNASSE,Île-de-France,222,165,0,8,2.875,0.095795796,34,21.52401961,5.696096096,22,5.696096096,5,0,15.38461538,30.76923077,38.46153846,11.53846154,3.846153846,0
2018-02,ANGERS SAINT LAUD,Pays de la Loire,PARIS MONTPARNASSE,Île-de-France,352,91,11,179,8.822346369,4.729081134,110,35.76893939,12.92189638,64,12.92189638,40,19,58.82352941,22.35294118,9.411764706,4.705882353,2.352941176,2.352941176
2018-03,ANGERS SAINT LAUD,Pays de la Loire,PARIS MONTPARNASSE,Île-de-France,389,91,6,166,6.175903614,2.820844212,70,19.95333333,4.64408181,30,4.64408181,14,3,40,22.22222222,15.55555556,15.55555556,6.666666667,0
2018-04,ANGERS SAINT LAUD,Pays de la Loire,PARIS MONTPARNASSE,Île-de-France,403,90,112,139,6.567266187,3.247021764,74,16.20788288,5.217296678,31,5.217296678,6,1,35.71428571,17.85714286,12.5,21.42857143,7.142857143,5.357142857
2018-05,ANGERS SAINT LAUD,Pays de la Loire,PARIS MONTPARNASSE,Île-de-France,409,91,95,55,19.17727273,4.203609342,71,28.45422535,7.442622081,39,7.442622081,17,7,34.92063492,28.57142857,3.174603175,22.22222222,3.174603175,7.936507937
2018-06,ANGERS SAINT LAUD,Pays de la Loire,PARIS MONTPARNASSE,Île-de-France,395,91,50,55,15.99787879,3.548309179,114,20.58903509,8.592125604,47,8.592125604,18,7,20.43010753,50.53763441,10.75268817,12.90322581,2.150537634,3.225806452
2018-01,ST PIERRE DES CORPS,Centre-Val de Loire,PARIS MONTPARNASSE,Île-de-France,410,61,1,173,6.719267823,2.954808476,114,13.04561404,4.359739201,26,4.359739201,9,0,22.72727273,45.45454545,16.66666667,12.12121212,1.515151515,1.515151515
2018-01,LILLE,Hauts-de-France,LYON PART DIEU,Auvergne-Rhône-Alpes,292,190,8,122,10.04112022,4.375234742,36,56.1587963,7.582805164,31,7.582805164,22,13,40,30,5,20,5,0
2018-01,LILLE,Hauts-de-France,MARSEILLE ST CHARLES,Provence-Alpes-Côte d'Azur,190,307,4,50,7.381333333,2.043458781,35,44.1152381,9.938261649,35,9.938261649,13,7,57.14285714,19.04761905,4.761904762,9.523809524,4.761904762,4.761904762
2018-01,PARIS NORD,Île-de-France,ARRAS,Hauts-de-France,287,51,5,50,8.698333333,1.477186761,40,17.36916667,2.908333333,15,2.908333333,5,2,41.66666667,25,8.333333333,19.44444444,5.555555556,0
2018-01,PARIS NORD,Île-de-France,DUNKERQUE,Hauts-de-France,271,116,3,46,11.2365942,1.797636816,29,28.68965517,3.73880597,18,3.73880597,9,4,35.71428571,28.57142857,7.142857143,25,3.571428571,0
2018-01,MONTPELLIER,Occitanie,LYON PART DIEU,Auvergne-Rhône-Alpes,299,112,6,107,11.30903427,4.26410694,62,31.8483871,9.1221843,46,9.1221843,21,4,28.57142857,34.28571429,22.85714286,11.42857143,2.857142857,0
2018-01,PARIS LYON,Île-de-France,DIJON VILLE,Bourgogne-France-Comté,468,96,6,62,11.56935484,1.227525253,40,31.12083333,3.146212121,32,3.146212121,16,4,14.28571429,40,17.14285714,25.71428571,2.857142857,0
2018-01,PARIS LYON,Île-de-France,NICE VILLE,Provence-Alpes-Côte d'Azur,196,349,2,24,14.0125,1.394415808,25,48.57733333,7.979810997,25,7.979810997,15,7,60.86956522,21.73913043,0,13.04347826,4.347826087,0
2018-01,PARIS LYON,Île-de-France,NIMES,Occitanie,294,177,0,47,12.22801418,1.626247166,54,31.90154321,6.489739229,38,6.489739229,19,8,20,32,20,20,8,0
2018-01,ANGOULEME,Nouvelle Aquitaine,PARIS MONTPARNASSE,Île-de-France,270,125,4,135,5.710123457,2.971365915,56,21.19821429,6.464974937,33,6.464974937,9,0,26.92307692,42.30769231,9.615384615,15.38461538,3.846153846,1.923076923
2018-01,LAVAL,Pays de la Loire,PARIS MONTPARNASSE,Île-de-France,208,86,0,84,7.287896825,3.016987179,55,16.56909091,5.044791667,19,5.044791667,5,2,16.12903226,35.48387097,19.35483871,22.58064516,3.225806452,3.225806452
