Date,Source,RegionSource,Target,RegionTarget,Valeur1,Valeur2,Valeur3,Valeur4,Valeur5,Valeur6,Valeur7,Valeur8,Valeur9,Valeur10,Valeur11,Valeur12,Valeur13,Valeur14,Valeur15,Valeur16,Valeur17,Valeur18,Valeur19
2018-01,ANGERS SAINT LAUD,Pays de la Loire,PARIS MONTPARNASSE,Île-de-France,393,91,2,204,6.400490196,3.455754476,77,24.27424242,6.0728474,35,6.0728474,19,4,37.5,37.5,8.928571429,5.357142857,8.928571429,1.785714286
2018-01,LA ROCHELLE VILLE,Nouvelle Aquitaine,PARIS MONTPARNASSE,Île-de-France,222,165,0,8,2.875,0.095795796,34,21.52401961,5.696096096,22,5.696096096,5,0,15.38461538,30.76923077,38.46153846,11.53846154,3.846153846,0
2018-01,PARIS MONTPARNASSE,Île-de-France,BORDEAUX ST JEAN,Nouvelle Aquitaine,775,143,7,148,9.377815315,1.582530382,79,25.47911392,2.546961806,45,2.546961806,21,4,21.66666667,25,11.66666667,40,1.666666667,0
2018-01,PARIS MONTPARNASSE,Île-de-France,BREST,Bretagne,281,223,1,39,8.1,0.75172619,19,46.57894737,4.860714286,19,4.826241135,7,4,21.05263158,47.36842105,10.52631579,21.05263158,0,0
2018-01,PARIS MONTPARNASSE,Île-de-France,NANTES,Pays de la Loire,508,124,3,71,7.235211268,0.734290429,58,33.72643678,5.292211221,39,5.292211221,18,8,33.33333333,22.22222222,16.66666667,20.37037037,5.555555556,1.851851852
2018-01,PARIS MONTPARNASSE,Île-de-France,ST PIERRE DES CORPS,Centre-Val de loire,391,61,2,61,7.796994536,0.88688946,71,12.40516432,3.346486718,17,3.346486718,6,0,21.21212121,42.42424242,9.090909091,21.21212121,6.060606061,0
2018-01,PARIS MONTPARNASSE,Île-de-France,TOURS,Centre-Val de loire,186,72,0,30,9.582777778,1.09390681,48,12.23125,4.334856631,9,4.334856631,5,0,19.23076923,46.15384615,11.53846154,19.23076923,3.846153846,0
2018-01,ST PIERRE DES CORPS,Centre-Val de loire,PARIS MONTPARNASSE,Île-de-France,410,61,1,173,6.719267823,2.954808476,114,13.04561404,4.359739201,26,4.359739201,9,0,22.72727273,45.45454545,16.66666667,12.12121212,1.515151515,1.515151515
2018-01,LILLE,Hauts-de-France,LYON PART DIEU,Auvergne-Rhône-Alpes,292,190,8,122,10.04112022,4.375234742,36,56.1587963,7.582805164,31,7.582805164,22,13,40,30,5,20,5,0
2018-01,LILLE,Hauts-de-France,MARSEILLE ST CHARLES,Provence-Alpes-Côte d'Azur,190,307,4,50,7.381333333,2.043458781,35,44.1152381,9.938261649,35,9.938261649,13,7,57.14285714,19.04761905,4.761904762,9.523809524,4.761904762,4.761904762
2018-01,PARIS NORD,Île-de-France,ARRAS,Hauts-de-France,287,51,5,50,8.698333333,1.477186761,40,17.36916667,2.908333333,15,2.908333333,5,2,41.66666667,25,8.333333333,19.44444444,5.555555556,0
2018-01,PARIS NORD,Île-de-France,DOUAI,Hauts-de-France,192,69,2,29,10.39367816,1.437105263,30,19.24777778,2.288070175,11,2.288070175,5,3,37.5,33.33333333,12.5,12.5,4.166666667,0
2018-01,PARIS NORD,Île-de-France,DUNKERQUE,Hauts-de-France,271,116,3,46,11.2365942,1.797636816,29,28.68965517,3.73880597,18,3.73880597,9,4,35.71428571,28.57142857,7.142857143,25,3.571428571,0
2018-01,PARIS VAUGIRARD,Île-de-France,NANTES,Pays de la Loire,62,140,0,15,11.64111111,2.522043011,10,34.23166667,7.565591398,6,7.565591398,3,3,30,30,20,10,10,0
2018-01,ANNECY,Auvergne-Rhône-Alpes,PARIS LYON,Île-de-France,198,224,0,12,8.070833333,0.489141414,38,37.24605263,8.552525253,38,8.552525253,14,5,23.80952381,42.85714286,9.523809524,14.28571429,4.761904762,4.761904762
2018-01,BESANCON FRANCHE COMTE TGV,Bourgogne-France-Comté,PARIS LYON,Île-de-France,205,131,3,27,6.514197531,0.50990099,15,25.29444444,1.401320132,9,1.401320132,3,2,30.76923077,23.07692308,23.07692308,0,7.692307692,15.38461538
2018-01,MONTPELLIER,Occitanie,LYON PART DIEU,Auvergne-Rhône-Alpes,299,112,6,107,11.30903427,4.26410694,62,31.8483871,9.1221843,46,9.1221843,21,4,28.57142857,34.28571429,22.85714286,11.42857143,2.857142857,0
2018-01,MULHOUSE VILLE,Grand Est,PARIS LYON,Île-de-France,328,168,8,106,6.577044025,2.199895833,24,34.37361111,2.280208333,19,2.280208333,8,4,37.5,12.5,29.16666667,4.166666667,4.166666667,12.5
2018-01,PARIS LYON,Île-de-France,ANNECY,Auvergne-Rhône-Alpes,199,225,1,29,13.08390805,1.746632997,21,41.0952381,7.090909091,21,7.090909091,10,5,19.04761905,33.33333333,19.04761905,28.57142857,0,0
