Periode,Gare de départ,AMIENS,BAYONNE,BELFORT,BÉZIERS,BORDEAUX-ST-JEAN,BOULOGNE-VILLE,BOURGES,BOURG-ST-MAURICE/ST-GERVAIS,BRIANÇON,BRIVE/CAHORS,CAEN,CERBERE,CERBÈRE,CHERBOURG,CLERMONT-FERRAND,GRANVILLE,HENDAYE,LATOUR-DE-CAROL,LE HAVRE,LIMOGES,LYON,LYON-PART-DIEU,MARSEILLE-ST-CHARLES,MAUBEUGE,MAUBEUGE/CAMBRAI,MODANE,NANTES,NEVERS,NICE-VILLE,NÎMES,ORLÉANS,PARIS-AUSTERLITZ,PARIS-BERCY,PARIS-EST,PARIS-NORD,PARIS-ST-LAZARE,PARIS-VAUGIRARD,RODEZ/ALBI,ROUEN,ROUEN-RIVE-DROITE,ST-QUENTIN,TOULOUSE-MATABIAU,TOULOUSE-MATABIAU/CERBERE,TOULOUSE-MATABIAU/RODEZ,TOURS,TROUVILLE-DEAUVILLE,TROYES
2014-01,AMIENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,,,,,,,,,,,,
2014-01,BELFORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,,,,,,,,,,,,,
2014-01,BÉZIERS,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01,BORDEAUX-ST-JEAN,,,,,,,,,,,,,,,,,,,,31,,,,,,,72,,188,,,,,,,,,,,,,,,,,,
2014-01,BOULOGNE-VILLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,,,,,,,,,,,,
2014-01,BOURGES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,,,,,,,,,,,,,,,
2014-01,CAEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,,,,,,,,,67,,
2014-01,CERBERE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311,,,,,,,,,,,,,,,
2014-01,CHERBOURG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197,,,,,,,,,,,
2014-01,CLERMONT-FERRAND,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,234,,,,,,,,,,,,,,
2014-01,GRANVILLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,,,,,,,,,,
2014-01,HENDAYE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,
2014-01,LE HAVRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364,,,,,,,,,,,
2014-01,LIMOGES,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01,LYON-PART-DIEU,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,,,,,,,,,,,,,,,,,,,
2014-01,MAUBEUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306,,,,,,,,,,,,
2014-01,NANTES,,,,,72,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01,NEVERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,,,,,,,,,,,,,,
2014-01,NICE-VILLE,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01,NÎMES,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
