uic,gare_enquetee,frequence,pourcentage,annee
192039,Metz,C est la premiere fois,5,2016
212027,Strasbourg,Tous les jours de la semaine ou presque,57,2016
319012,Aix en Provence-TGV,Tous les jours de la semaine ou presque,1,2015
393702,Massy TGV,1 a 2 fois par semaine,8,2013
471003,Rennes,1 ou plusieurs fois par mois,22,2014
471003,Rennes,Tous les jours de la semaine ou presque,25,2014
476002,Lorient,1 a 2 fois par semaine,20,2010
478404,Laval,Moins d 1 fois par mois,13,2011
484006,Angers Saint Laud,1 ou plusieurs fois par mois,18,2015
575001,Poitiers,1 a 2 fois par semaine,15,2015
581009,Bordeaux Saint-Jean,Tous les jours de la semaine ou presque,24,2014
673004,Bayonne,Tous les jours de la semaine ou presque,24,2013
686006,Paris Gare de Lyon,Moins d 1 fois par mois,34,2012
686006,Paris Gare de Lyon,Tous les jours de la semaine ou presque,28,2012
718007,Besançon-Viotte,Moins d 1 fois par mois,22,2012
757625,Cannes,Tous les jours de la semaine ou presque,38,2015
763029,Valence TGV Rhône-Alpes Sud,Tous les jours de la semaine ou presque,11,2015
686667,Paris Bercy,Moins d 1 fois par mois,31,2012
223263,Lille Europe,1 ou plusieurs fois par mois,17,2013
345025,Lens,C est la premiere fois,5,2016
384008,Paris St Lazare,1 ou plusieurs fois par mois,6,2013
393702,Massy TGV,1 ou plusieurs fois par mois,19,2013
756056,Nice,1 ou plusieurs fois par mois,11,2014
686667,Paris Bercy,1 a 2 fois par semaine,14,2012
141002,Nancy,1 a 2 fois par semaine,15,2014
212027,Strasbourg,C est la premiere fois,5,2016
345025,Lens,1 a 2 fois par semaine,15,2016
384008,Paris St Lazare,1 a 2 fois par semaine,12,2013
396002,Le Mans,1 ou plusieurs fois par mois,14,2015
411017,Rouen Rive Droite,Tous les jours de la semaine ou presque,50,2014
444877,Cherbourg,C est la premiere fois,11,2015
444877,Cherbourg,Moins d 1 fois par mois,30,2015
571000,Tours,1 a 2 fois par semaine,13,2016
757625,Cannes,Moins d 1 fois par mois,14,2015
762906,Lyon Saint Exupery TGV,Moins d 1 fois par mois,45,2016
773002,Montpellier Saint-Roch,1 ou plusieurs fois par mois,19,2015
686667,Paris Bercy,1 ou plusieurs fois par mois,13,2012
118000,Troyes,Moins d 1 fois par mois,20,2015
171009,Reims,Moins d 1 fois par mois,13,2016
171009,Reims,Tous les jours de la semaine ou presque,51,2016
182014,Colmar,1 ou plusieurs fois par mois,13,2017
271494,Aéroport Charles de Gaulle 2 TGV,1 a 2 fois par semaine,5,2013
396002,Le Mans,Tous les jours de la semaine ou presque,37,2015
478404,Laval,1 a 2 fois par semaine,15,2011
722025,Lyon Perrache,Moins d 1 fois par mois,26,2011
762906,Lyon Saint Exupery TGV,1 a 2 fois par semaine,10,2016
784009,Perpignan,Tous les jours de la semaine ou presque,23,2016
686667,Paris Bercy,C est la premiere fois,8,2012
318964,Avignon TGV,1 a 2 fois par semaine,12,2015
476002,Lorient,Moins d 1 fois par mois,23,2010
484006,Angers Saint Laud,Moins d 1 fois par mois,24,2015
673400,Biarritz,1 a 2 fois par semaine,5,2016
713040,Dijon,Moins d 1 fois par mois,20,2015
722025,Lyon Perrache,1 a 2 fois par semaine,10,2011
481002,Nantes,1 ou plusieurs fois par mois,22,2014
571000,Tours,1 ou plusieurs fois par mois,16,2016
677005,Hendaye,Moins d 1 fois par mois,33,2016
713040,Dijon,C est la premiere fois,6,2015
747006,Grenoble,1 a 2 fois par semaine,18,2015
223263,Lille Europe,1 a 2 fois par semaine,14,2013
223263,Lille Europe,Moins d 1 fois par mois,30,2013
313874,Amiens,1 ou plusieurs fois par mois,8,2015
318964,Avignon TGV,Moins d 1 fois par mois,49,2015
319012,Aix en Provence-TGV,C est la premiere fois,10,2015
391003,Paris Montparnasse 1 et 2 + Vaugirard,Tous les jours de la semaine ou presque,38,2012
583005,Angoulême,Tous les jours de la semaine ou presque,17,2012
673004,Bayonne,1 a 2 fois par semaine,16,2013
686006,Paris Gare de Lyon,1 ou plusieurs fois par mois,15,2012
747006,Grenoble,Tous les jours de la semaine ou presque,42,2015
751008,Marseille Saint-Charles,1 a 2 fois par semaine,12,2013
755009,Toulon,1 a 2 fois par semaine,23,2014
111849,Marne la Vallée Chessy,C est la premiere fois,22,2013
182014,Colmar,Moins d 1 fois par mois,11,2017
182063,Mulhouse,1 a 2 fois par semaine,17,2014
393702,Massy TGV,C est la premiere fois,23,2013
575001,Poitiers,C est la premiere fois,12,2015
718007,Besançon-Viotte,C est la premiere fois,4,2012
755009,Toulon,Moins d 1 fois par mois,29,2014
763029,Valence TGV Rhône-Alpes Sud,C est la premiere fois,11,2015
142109,Lorraine TGV,1 ou plusieurs fois par mois,14,2017
182063,Mulhouse,C est la premiere fois,6,2014
319012,Aix en Provence-TGV,1 ou plusieurs fois par mois,25,2015
391003,Paris Montparnasse 1 et 2 + Vaugirard,1 a 2 fois par semaine,13,2012
393702,Massy TGV,Tous les jours de la semaine ou presque,8,2013
476002,Lorient,C est la premiere fois,9,2010
581009,Bordeaux Saint-Jean,1 a 2 fois par semaine,14,2014
673004,Bayonne,C est la premiere fois,25,2013
673400,Biarritz,1 ou plusieurs fois par mois,11,2016
723197,Lyon Part Dieu,Moins d 1 fois par mois,28,2011
757625,Cannes,C est la premiere fois,16,2015
762906,Lyon Saint Exupery TGV,Tous les jours de la semaine ou presque,1,2016
763029,Valence TGV Rhône-Alpes Sud,Moins d 1 fois par mois,39,2015
775007,Nîmes,C est la premiere fois,6,2014
118000,Troyes,Tous les jours de la semaine ou presque,35,2015
318964,Avignon TGV,C est la premiere fois,11,2015
393702,Massy TGV,Moins d 1 fois par mois,42,2013
444000,Caen,Moins d 1 fois par mois,21,2012
444877,Cherbourg,1 a 2 fois par semaine,13,2015
476002,Lorient,Tous les jours de la semaine ou presque,33,2010
571000,Tours,C est la premiere fois,7,2016
575001,Poitiers,Moins d 1 fois par mois,32,2015
581009,Bordeaux Saint-Jean,Moins d 1 fois par mois,35,2014
722025,Lyon Perrache,Tous les jours de la semaine ou presque,60,2011
756056,Nice,Moins d 1 fois par mois,25,2014
763029,Valence TGV Rhône-Alpes Sud,1 ou plusieurs fois par mois,25,2015
784009,Perpignan,1 ou plusieurs fois par mois,22,2016
784009,Perpignan,Moins d 1 fois par mois,30,2016
113001,Paris Est,C est la premiere fois,10,2012
319012,Aix en Provence-TGV,1 a 2 fois par semaine,14,2015
481002,Nantes,Moins d 1 fois par mois,25,2014
581009,Bordeaux Saint-Jean,C est la premiere fois,7,2014
713040,Dijon,1 ou plusieurs fois par mois,21,2015
118000,Troyes,1 ou plusieurs fois par mois,15,2015
192039,Metz,Tous les jours de la semaine ou presque,52,2016
271494,Aéroport Charles de Gaulle 2 TGV,1 ou plusieurs fois par mois,12,2013
271494,Aeroport Charles de Gaulle 2 TGV,Moins d 1 fois par mois,58,2013
300863,Besançon Franche-Comté TGV,Tous les jours de la semaine ou presque,6,2015
313874,Amiens,C est la premiere fois,4,2015
396002,Le Mans,1 a 2 fois par semaine,19,2015
481002,Nantes,1 a 2 fois par semaine,14,2014
677005,Hendaye,1 a 2 fois par semaine,6,2016
751008,Marseille Saint-Charles,1 ou plusieurs fois par mois,15,2013
753657,Arles,Moins d 1 fois par mois,27,2014
762906,Lyon Saint Exupery TGV,C est la premiere fois,19,2016
773002,Montpellier Saint-Roch,C est la premiere fois,9,2015
113001,Paris Est,1 ou plusieurs fois par mois,8,2012
182063,Mulhouse,Tous les jours de la semaine ou presque,47,2014
286005,Lille Flandres,C est la premiere fois,5,2013
300822,Belfort Montbéliard TGV,Tous les jours de la semaine ou presque,1,2015
411017,Rouen Rive Droite,Moins d 1 fois par mois,17,2014
